歌経標式	OH_OO古典拾遺	10	50	B	しもがれ	霜枯れ	シモガレ	名詞-普通名詞-一般			シモガレ	和
歌経標式	OH_OO古典拾遺	50	60	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	60	120	I	しだりやなぎ	枝垂れ柳	シダレヤナギ	名詞-普通名詞-一般			シダリヤナギ	和
歌経標式	OH_OO古典拾遺	120	130	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	130	170	B	あきかぜ	秋風	アキカゼ	名詞-普通名詞-一般			アキカゼ	和
歌経標式	OH_OO古典拾遺	170	180	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	180	190	I	ひ	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
歌経標式	OH_OO古典拾遺	190	200	I	に	に	ニ	助詞-格助詞			ニ	和
歌経標式	OH_OO古典拾遺	200	210	I	け	異	ケ	名詞-普通名詞-形状詞可能			ケ	和
歌経標式	OH_OO古典拾遺	210	220	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
歌経標式	OH_OO古典拾遺	220	240	I	ふけ	吹く	フク	動詞-一般	文語四段-カ行	已然形-一般	フケ	和
歌経標式	OH_OO古典拾遺	240	250	I	ば	ば	バ	助詞-接続助詞			バ	和
歌経標式	OH_OO古典拾遺	250	290	I	みづくき	水茎	ミズクキ	名詞-普通名詞-一般			ミズクキ	和
歌経標式	OH_OO古典拾遺	290	300	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	300	340	B	かむかぜ	神風	カミカゼ	名詞-普通名詞-一般			カムカゼ	和
歌経標式	OH_OO古典拾遺	340	350	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	350	370	I	いせ	イセ	イセ	名詞-固有名詞-地名-一般			イセ	固
歌経標式	OH_OO古典拾遺	370	380	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	380	400	I	くに	国	クニ	名詞-普通名詞-一般			クニ	和
歌経標式	OH_OO古典拾遺	400	410	I	に	に	ニ	助詞-格助詞			ニ	和
歌経標式	OH_OO古典拾遺	410	420	I	も	も	モ	助詞-係助詞			モ	和
歌経標式	OH_OO古典拾遺	420	440	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
歌経標式	OH_OO古典拾遺	440	460	I	まし	まし	マシ	助動詞	文語助動詞-マシ	連体形-一般	マシ	和
歌経標式	OH_OO古典拾遺	460	470	I	を	を	ヲ	助詞-格助詞			オ	和
歌経標式	OH_OO古典拾遺	470	510	B	しらつゆ	白露	シラツユ	名詞-普通名詞-一般			シラツユ	和
歌経標式	OH_OO古典拾遺	510	520	I	と	と	ト	助詞-格助詞			ト	和
歌経標式	OH_OO古典拾遺	520	540	I	あき	秋	アキ	名詞-普通名詞-副詞可能			アキ	和
歌経標式	OH_OO古典拾遺	540	550	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	550	570	I	はぎ	萩	ハギ	名詞-普通名詞-一般			ハギ	和
歌経標式	OH_OO古典拾遺	570	580	I	と	と	ト	助詞-格助詞			ト	和
歌経標式	OH_OO古典拾遺	580	590	I	は	は	ハ	助詞-係助詞			ワ	和
歌経標式	OH_OO古典拾遺	590	610	B	うぢ	ウジ	ウジ	名詞-固有名詞-地名-一般			ウジ	固
歌経標式	OH_OO古典拾遺	610	630	I	かは	川	カワ	名詞-普通名詞-一般			カワ	和
歌経標式	OH_OO古典拾遺	630	640	I	を	を	ヲ	助詞-格助詞			オ	和
歌経標式	OH_OO古典拾遺	640	660	I	ふね	船	フネ	名詞-普通名詞-一般			フネ	和
歌経標式	OH_OO古典拾遺	660	690	I	わたせ	渡す	ワタス	動詞-一般	文語四段-サ行	命令形	ワタセ	和
歌経標式	OH_OO古典拾遺	690	700	I	を	を	ヲ	助詞-終助詞			オ	和
歌経標式	OH_OO古典拾遺	700	710	I	と	と	ト	助詞-格助詞			ト	和
歌経標式	OH_OO古典拾遺	710	720	B	わ	わ	ワ	代名詞			ワ	和
歌経標式	OH_OO古典拾遺	720	730	I	が	が	ガ	助詞-格助詞			ガ	和
歌経標式	OH_OO古典拾遺	730	760	I	やなぎ	柳	ヤナギ	名詞-普通名詞-一般			ヤナギ	和
歌経標式	OH_OO古典拾遺	760	790	I	みどり	緑	ミドリ	名詞-普通名詞-一般			ミドリ	和
歌経標式	OH_OO古典拾遺	790	800	I	の	の	ノ	助詞-格助詞			ノ	和
歌経標式	OH_OO古典拾遺	800	820	I	いと	糸	イト	名詞-普通名詞-一般			イト	和
歌経標式	OH_OO古典拾遺	820	830	I	に	に	ニ	助詞-格助詞			ニ	和
歌経標式	OH_OO古典拾遺	830	850	I	なる	成る	ナル	動詞-非自立可能	文語四段-ラ行	連体形-一般	ナル	和
歌経標式	OH_OO古典拾遺	850	870	I	まで	まで	マデ	助詞-副助詞			マデ	和
歌経標式	OH_OO古典拾遺	870	880	I	に	に	ニ	助詞-格助詞			ニ	和
歌経標式	OH_OO古典拾遺	880	890	I	み	身	ミ	名詞-普通名詞-一般			ミ	和
歌経標式	OH_OO古典拾遺	890	910	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
歌経標式	OH_OO古典拾遺	910	940	I	うれた	憂たい	ウレタイ	形容詞-一般	文語形容詞-ク	語幹-一般	ウレタ	和
歌経標式	OH_OO古典拾遺	940	950	I	み	み	ミ	接尾辞-名詞的-一般			ミ	和
